1G6DM5EG0A0305964,Toyota,Avalon,Crimson,2002,FALSE
WDDPK4HA9DF161937,Kia,Sorento,Aquamarine,2007,FALSE
2T1KU4EE3BC130727,Mercedes-Benz,CLK-Class,Pink,2001,FALSE
5TFAW5F17FX961324,Hyundai,XG350,Orange,2002,TRUE
WA1VKBFPXAA374508,Mercedes-Benz,S-Class,Mauv,1987,TRUE
4T1BD1EB1DU752409,Ford,F150,Indigo,2009,FALSE
1G6AS5S39E0283060,Oldsmobile,Ciera,Goldenrod,1992,FALSE
1FMEU8FE7AU080959,Hyundai,Elantra,Khaki,1995,FALSE
WAUJT68E84A796301,GMC,Envoy,Turquoise,2006,FALSE
1FTSW2A58AE766248,Chevrolet,Citation,Teal,1980,TRUE
VNKJTUD38FA471928,Porsche,911,Turquoise,1995,TRUE
1GYUCAEF2AR228505,Mazda,MPV,Teal,1996,FALSE
5N1AA0NC7DN957492,Honda,Accord,Orange,1985,TRUE
5N1AN0NW1EN564670,Pontiac,Sunbird,Khaki,1985,TRUE
WA1C8BFP6DA385712,Acura,RDX,Mauv,2011,TRUE
JH4DC54813C737988,Nissan,300ZX,Orange,1991,TRUE
WAUKFAFL4DN454563,Toyota,Corolla,Goldenrod,1998,TRUE
SALVP2BG5FH359564,Volvo,S40,Pink,2005,FALSE
4T1BF3EK0AU317916,Ford,Explorer,Red,1991,FALSE
WAUEH74F08N712543,Austin,Mini,Blue,1963,FALSE
2G61M5S38F9560931,Jeep,Grand Cherokee,Crimson,2000,TRUE
WA1VMBFE3CD015754,Lincoln,MKX,Violet,2011,TRUE
WBAVB33566K781335,Maserati,Coupe,Puce,2006,TRUE
1FMCU9D75AK661308,Ferrari,F430,Khaki,2008,FALSE
1G4PR5SK0E4652600,Bentley,Azure,Goldenrod,2006,TRUE
WD3PE7DC0F5957926,Toyota,Echo,Pink,2003,FALSE
KNADH5A33A6273171,Lotus,Esprit,Teal,1990,FALSE
WA1LFAFP0CA688046,Nissan,370Z,Mauv,2012,FALSE
2T2BK1BA0BC558157,Dodge,Viper,Crimson,2009,FALSE
1FTEW1CW6AF129561,BMW,3 Series,Green,2007,FALSE
KNADM4A32F6689743,Honda,Passport,Orange,2002,FALSE
5N1CR2MMXEC868178,Suzuki,Forenza,Purple,2005,TRUE
1N6AF0LY2FN988458,Plymouth,Voyager,Mauv,1997,TRUE
WAUEFAFL9EN291360,Cadillac,Eldorado,Green,2000,FALSE
KNAFU5A25B5310658,Mercury,Cougar,Yellow,2002,TRUE
1N6AA0CH1DN058028,Honda,S2000,Pink,2000,FALSE
5N1AN0NU2CN223211,Land Rover,Range Rover,Yellow,1992,TRUE
TRUVD38J191979095,GMC,1500 Club Coupe,Teal,1994,TRUE
2T1BU4EE2DC722560,Chevrolet,Express 2500,Blue,2005,TRUE
2T1BU4EE0BC963143,Chevrolet,2500,Turquoise,1998,TRUE
WBAEH73465C584171,Chevrolet,Tracker,Orange,2001,FALSE
1G6DR57V380984894,GMC,Sierra 3500,Teal,2000,FALSE
